tiempo,ws,wd
2019-05-06 21:00:00,0.737,218.4
2019-05-06 21:10:00,1.003,200.8
2019-05-06 21:20:00,0.377,237.6
2019-05-06 21:30:00,1.743,338.8
2019-05-06 21:40:00,1.062,333.3
2019-05-06 21:50:00,1.545,337.0
2019-05-06 22:00:00,1.65,349.3
2019-05-06 22:10:00,2.015,342.7
2019-05-06 22:20:00,2.452,337.2
2019-05-06 22:30:00,0.435,147.2
2019-05-06 22:40:00,1.447,0.994
2019-05-06 22:50:00,1.25,358.2
2019-05-06 23:00:00,0.645,14.17
2019-05-06 23:10:00,0.507,190.3
2019-05-06 23:20:00,0.812,126.3
2019-05-06 23:30:00,1.563,165.7
2019-05-06 23:40:00,0.708,224.0
2019-05-06 23:50:00,0.697,247.3
2019-05-07 00:00:00,0.6976589595375722,247.04100578034684
2019-05-07 00:10:00,0.6983179190751445,246.7820115606937
2019-05-07 00:20:00,0.6989768786127167,246.5230173410405
2019-05-07 00:30:00,0.699635838150289,246.26402312138728
2019-05-07 00:40:00,0.7002947976878612,246.0050289017341
2019-05-07 00:50:00,0.7009537572254335,245.74603468208093
2019-05-07 01:00:00,0.7016127167630057,245.48704046242776
2019-05-07 01:10:00,0.702271676300578,245.22804624277455
2019-05-07 01:20:00,0.7029306358381502,244.9690520231214
2019-05-07 01:30:00,0.7035895953757225,244.71005780346823
2019-05-07 01:40:00,0.7042485549132947,244.45106358381503
2019-05-07 01:50:00,0.704907514450867,244.19206936416185
2019-05-07 02:00:00,0.7055664739884393,243.93307514450868
2019-05-07 02:10:00,0.7062254335260115,243.6740809248555
2019-05-07 02:20:00,0.7068843930635837,243.41508670520236
2019-05-07 02:30:00,0.707543352601156,243.15609248554915
2019-05-07 02:40:00,0.7082023121387283,242.897098265896
2019-05-07 02:50:00,0.7088612716763005,242.6381040462428
2019-05-07 03:00:00,0.7095202312138728,242.3791098265896
2019-05-07 03:10:00,0.7101791907514451,242.1201156069364
2019-05-07 03:20:00,0.7108381502890173,241.86112138728325
2019-05-07 03:30:00,0.7114971098265895,241.60212716763007
2019-05-07 03:40:00,0.7121560693641618,241.3431329479769
2019-05-07 03:50:00,0.7128150289017341,241.0841387283237
2019-05-07 04:00:00,0.7134739884393063,240.8251445086705
2019-05-07 04:10:00,0.7141329479768785,240.56615028901732
2019-05-07 04:20:00,0.7147919075144508,240.30715606936417
2019-05-07 04:30:00,0.7154508670520231,240.048161849711
2019-05-07 04:40:00,0.7161098265895953,239.78916763005785
2019-05-07 04:50:00,0.7167687861271675,239.53017341040464
2019-05-07 05:00:00,0.7174277456647399,239.27117919075147
2019-05-07 05:10:00,0.7180867052023121,239.01218497109824
2019-05-07 05:20:00,0.7187456647398843,238.7531907514451
2019-05-07 05:30:00,0.7194046242774566,238.4941965317919
2019-05-07 05:40:00,0.7200635838150289,238.23520231213877
2019-05-07 05:50:00,0.7207225433526011,237.9762080924856
2019-05-07 06:00:00,0.7213815028901733,237.7172138728324
2019-05-07 06:10:00,0.7220404624277457,237.4582196531792
2019-05-07 06:20:00,0.7226994219653179,237.199225433526
2019-05-07 06:30:00,0.7233583815028901,236.94023121387283
2019-05-07 06:40:00,0.7240173410404623,236.6812369942197
2019-05-07 06:50:00,0.7246763005780347,236.42224277456648
2019-05-07 07:00:00,0.7253352601156069,236.1632485549133
2019-05-07 07:10:00,0.7259942196531791,235.9042543352601
2019-05-07 07:20:00,0.7266531791907513,235.64526011560696
2019-05-07 07:30:00,0.7273121387283237,235.38626589595376
2019-05-07 07:40:00,0.7279710982658959,235.12727167630055
2019-05-07 07:50:00,0.7286300578034681,234.8682774566474
2019-05-07 08:00:00,0.7292890173410405,234.60928323699423
2019-05-07 08:10:00,0.7299479768786127,234.35028901734103
2019-05-07 08:20:00,0.7306069364161849,234.09129479768788
2019-05-07 08:30:00,0.7312658959537571,233.8323005780347
2019-05-07 08:40:00,0.7319248554913295,233.5733063583815
2019-05-07 08:50:00,0.7325838150289017,233.31431213872835
2019-05-07 09:00:00,0.7332427745664739,233.05531791907515
2019-05-07 09:10:00,0.7339017341040461,232.796323699422
2019-05-07 09:20:00,0.7345606936416185,232.5373294797688
2019-05-07 09:30:00,0.7352196531791907,232.27833526011565
2019-05-07 09:40:00,0.7358786127167629,232.01934104046245
2019-05-07 09:50:00,0.7365375722543352,231.76034682080925
2019-05-07 10:00:00,0.7371965317919075,231.50135260115607
