Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep) 
 05/06  04:10:00,22.0,0.0 
 05/06  04:20:00,22.3,0.0 
 05/06  04:30:00,22.4,0.0 
 05/06  04:40:00,22.1,0.0 
 05/06  04:50:00,21.8,0.0 
 05/06  05:00:00,21.8,0.0 
 05/06  05:10:00,21.7,0.0 
 05/06  05:20:00,21.6,0.0 
 05/06  05:30:00,21.6,0.0 
 05/06  05:40:00,21.2,0.0 
 05/06  05:50:00,21.1,0.0 
 05/06  06:00:00,20.8,0.0 
 05/06  06:10:00,20.6,0.0 
 05/06  06:20:00,20.5,0.057 
 05/06  06:30:00,20.3,2.34 
 05/06  06:40:00,20.9,11.74 
 05/06  06:50:00,20.8,20.92 
 05/06  07:00:00,20.6,31.14 
 05/06  07:10:00,20.8,44.19 
 05/06  07:20:00,21.0,68.19 
 05/06  07:30:00,21.5,75.38 
 05/06  07:40:00,22.0,78.61 
 05/06  07:50:00,22.4,98.5 
 05/06  08:00:00,23.3,114.3 
 05/06  08:10:00,24.4,125.7 
 05/06  08:20:00,24.7,124.5 
 05/06  08:30:00,25.0,130.0 
 05/06  08:40:00,25.2,145.1 
 05/06  08:50:00,25.3,148.7 
 05/06  09:00:00,25.5,155.9 
 05/06  09:10:00,26.0,177.8 
 05/06  09:20:00,26.3,177.9 
 05/06  09:30:00,26.3,215.8 
 05/06  09:40:00,26.8,224.7 
 05/06  09:50:00,26.9,240.4 
 05/06  10:00:00,27.5,241.1 
 05/06  10:10:00,27.5,244.8 
 05/06  10:20:00,27.8,251.3 
 05/06  10:30:00,28.0,246.6 
 05/06  10:40:00,27.4,274.8 
 05/06  10:50:00,27.7,287.0 
 05/06  11:00:00,28.6,277.9 
 05/06  11:10:00,28.4,255.9 
 05/06  11:20:00,29.5,249.0 
 05/06  11:30:00,29.8,159.6 
 05/06  11:40:00,29.8,156.0 
 05/06  11:50:00,30.5,255.2 
 05/06  12:00:00,30.3,251.9 
 05/06  12:10:00,30.7,240.2 
 05/06  12:20:00,30.7,231.3 
 05/06  12:30:00,30.9,224.1 
 05/06  12:40:00,31.1,230.2 
 05/06  12:50:00,31.3,228.2 
 05/06  13:00:00,31.1,235.3 
 05/06  13:10:00,31.1,241.5 
 05/06  13:20:00,32.2,259.8 
 05/06  13:30:00,32.4,297.7 
 05/06  13:40:00,32.0,310.1 
 05/06  13:50:00,32.3,318.5 
 05/06  14:00:00,32.7,325.4 
 05/06  14:10:00,32.8,311.3 
 05/06  14:20:00,33.0,333.9 
 05/06  14:30:00,32.9,346.1 
 05/06  14:40:00,33.3,338.7 
 05/06  14:50:00,32.8,321.9 
 05/06  15:00:00,32.6,313.2 
 05/06  15:10:00,32.9,308.2 
 05/06  15:20:00,33.0,303.9 
 05/06  15:30:00,33.7,296.9 
 05/06  15:40:00,33.4,294.7 
 05/06  15:50:00,33.0,291.6 
 05/06  16:00:00,33.2,272.8 
 05/06  16:10:00,33.5,254.0 
 05/06  16:20:00,33.5,248.0 
 05/06  16:30:00,33.7,224.3 
 05/06  16:40:00,33.8,195.1 
 05/06  16:50:00,33.6,197.1 
 05/06  17:00:00,33.8,183.9 
 05/06  17:10:00,34.3,163.5 
 05/06  17:20:00,34.0,176.6 
 05/06  17:30:00,33.3,150.9 
 05/06  17:40:00,33.8,150.9 
 05/06  17:50:00,33.5,135.0 
 05/06  18:00:00,33.5,106.9 
 05/06  18:10:00,33.3,101.6 
 05/06  18:20:00,33.4,97.3 
 05/06  18:30:00,33.7,75.72 
 05/06  18:40:00,33.4,46.09 
 05/06  18:50:00,33.2,36.5 
 05/06  19:00:00,33.0,0.0 
 05/06  19:10:00,32.7,0.0 
 05/06  19:20:00,32.4,0.0 
 05/06  19:30:00,32.0,0.0 
 05/06  19:40:00,31.7,0.0 
 05/06  19:50:00,31.5,0.0 
 05/06  20:00:00,31.2,0.0 
 05/06  20:10:00,30.9,0.0 
 05/06  20:20:00,30.5,0.0 
 05/06  20:30:00,30.3,0.0 
 05/06  20:40:00,30.1,0.0 
 05/06  20:50:00,30.0,0.0 
 05/06  21:00:00,29.7,0.0 
 05/06  21:10:00,29.4,0.0 
 05/06  21:20:00,28.1,0.0 
 05/06  21:30:00,28.1,0.0 
 05/06  21:40:00,28.3,0.0 
 05/06  21:50:00,27.7,0.0 
 05/06  22:00:00,26.6,0.0 
 05/06  22:10:00,26.4,0.0 
 05/06  22:20:00,26.6,0.0 
 05/06  22:30:00,26.7,0.0 
 05/06  22:40:00,26.1,0.0 
 05/06  22:50:00,25.8,0.0 
